Vg	absId	absIg	absIs	Vd	Id	Ig
3.75	3.86793E-07	1.52709E-10	3.87146E-07	60	3.86793E-07	1.52709E-10
4.5	4.56686E-07	1.31285E-10	4.57244E-07	60	4.56686E-07	1.31285E-10
5.25	5.31956E-07	1.27017E-10	5.32797E-07	60	5.31956E-07	1.27017E-10
6	6.14885E-07	1.37248E-10	6.15339E-07	60	6.14885E-07	1.37248E-10
6.75	7.03218E-07	1.49403E-10	7.04136E-07	60	7.03218E-07	1.49403E-10
7.5	7.97887E-07	1.66123E-10	7.98461E-07	60	7.97887E-07	1.66123E-10
8.25	8.98898E-07	1.8274E-10	8.99794E-07	60	8.98898E-07	1.8274E-10
9	1.006461E-06	2.08584E-10	1.00693E-06	60	1.006461E-06	2.08584E-10
9.75	1.119259E-06	2.45161E-10	1.120742E-06	60	1.119259E-06	2.45161E-10
10.5	1.24169E-06	2.76454E-10	1.24171E-06	60	1.24169E-06	2.76454E-10
11.25	1.36608E-06	3.23105E-10	1.36627E-06	60	1.36608E-06	3.23105E-10
12	1.49898E-06	4.0352E-10	1.49965E-06	60	1.49898E-06	4.0352E-10
12.75	1.63647E-06	4.646E-10	1.6382E-06	60	1.63647E-06	4.646E-10
13.5	1.78349E-06	5.48351E-10	1.78375E-06	60	1.78349E-06	5.48351E-10
14.25	1.93391E-06	7.01073E-10	1.93404E-06	60	1.93391E-06	7.01073E-10
15	2.09008E-06	8.6788E-10	2.09116E-06	60	2.09008E-06	8.6788E-10
15.75	2.25296E-06	1.21369E-09	2.25541E-06	60	2.25296E-06	1.21369E-09
16.5	2.42395E-06	1.46099E-09	2.42662E-06	60	2.42395E-06	1.46099E-09
